subscriptionName,resourceGroup,resourceType,resourceName,recommendationDisplayName,severity,state,controls
Management-P,rg-arc-app-win-p-we-001,machines,DASAMSFTPPR1,Vulnerabilities in security configuration on your Windows machines should be remediated (powered by Guest Configuration),Low,NotApplicable,Remediate security configurations
Management-P,rg-arc-app-win-p-we-001,machines,dasamsftppr1,Windows servers should be configured to use secure communication protocols,High,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamsftppr1,Windows Defender Exploit Guard should be enabled on machines,Medium,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,DASAMSFTPPR1,Machines should have vulnerability findings resolved,Low,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,dasamsfortts2,Machines should have a vulnerability assessment solution,Medium,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,dasamsfortts2,System updates should be installed on your machines (powered by Azure Update Manager),High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamsfortts2,Machines should be configured to periodically check for missing system updates,High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamsfortts2,Vulnerabilities in security configuration on your Windows machines should be remediated (powered by Guest Configuration),Low,NotApplicable,Remediate security configurations
Management-P,rg-arc-app-win-p-we-001,machines,dasamsfortts2,Windows servers should be configured to use secure communication protocols,High,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamsfortts2,Windows Defender Exploit Guard should be enabled on machines,Medium,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamsfortts2,Machines should have vulnerability findings resolved,Low,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,dasamsfortpr2,Machines should have a vulnerability assessment solution,Medium,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,dasamsfortpr2,System updates should be installed on your machines (powered by Azure Update Manager),High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamsfortpr2,Machines should be configured to periodically check for missing system updates,High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamsfortpr2,Vulnerabilities in security configuration on your Windows machines should be remediated (powered by Guest Configuration),Low,NotApplicable,Remediate security configurations
Management-P,rg-arc-app-win-p-we-001,machines,dasamsfortpr2,Windows servers should be configured to use secure communication protocols,High,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamsfortpr2,Windows Defender Exploit Guard should be enabled on machines,Medium,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamsfortpr2,Machines should have vulnerability findings resolved,Low,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,dasamsdppr12,Machines should have a vulnerability assessment solution,Medium,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,dasamsdppr12,System updates should be installed on your machines (powered by Azure Update Manager),High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamsdppr12,Machines should be configured to periodically check for missing system updates,High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamsdppr12,Vulnerabilities in security configuration on your Windows machines should be remediated (powered by Guest Configuration),Low,NotApplicable,Remediate security configurations
Management-P,rg-arc-app-win-p-we-001,machines,dasamsdppr12,Windows servers should be configured to use secure communication protocols,High,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamsdppr12,Windows Defender Exploit Guard should be enabled on machines,Medium,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamsdppr12,Machines should have vulnerability findings resolved,Low,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,DASAMSDPPR11,Machines should have a vulnerability assessment solution,Medium,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,dasamsdppr11,System updates should be installed on your machines (powered by Azure Update Manager),High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamsdppr11,Machines should be configured to periodically check for missing system updates,High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,DASAMSDPPR11,Vulnerabilities in security configuration on your Windows machines should be remediated (powered by Guest Configuration),Low,NotApplicable,Remediate security configurations
Management-P,rg-arc-app-win-p-we-001,machines,dasamsdppr11,Windows servers should be configured to use secure communication protocols,High,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamsdppr11,Windows Defender Exploit Guard should be enabled on machines,Medium,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,DASAMSDPPR11,Machines should have vulnerability findings resolved,Low,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,cssu1,Machines should have a vulnerability assessment solution,Medium,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,cssu1,System updates should be installed on your machines (powered by Azure Update Manager),High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,cssu1,Machines should be configured to periodically check for missing system updates,High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,cssu1,Vulnerabilities in security configuration on your Windows machines should be remediated (powered by Guest Configuration),Low,NotApplicable,Remediate security configurations
Management-P,rg-arc-app-win-p-we-001,machines,cssu1,Windows servers should be configured to use secure communication protocols,High,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,cssu1,Windows Defender Exploit Guard should be enabled on machines,Medium,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,cssu1,Machines should have vulnerability findings resolved,Low,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,cssp1,Machines should have a vulnerability assessment solution,Medium,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,cssp1,System updates should be installed on your machines (powered by Azure Update Manager),High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,cssp1,Machines should be configured to periodically check for missing system updates,High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,cssp1,Vulnerabilities in security configuration on your Windows machines should be remediated (powered by Guest Configuration),Low,NotApplicable,Remediate security configurations
Management-P,rg-arc-app-win-p-we-001,machines,cssp1,Windows servers should be configured to use secure communication protocols,High,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,cssp1,Windows Defender Exploit Guard should be enabled on machines,Medium,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,cssp1,Machines should have vulnerability findings resolved,Low,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,CGIMGTP2,Machines should have a vulnerability assessment solution,Medium,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,cgimgtp2,System updates should be installed on your machines (powered by Azure Update Manager),High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,cgimgtp2,Machines should be configured to periodically check for missing system updates,High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,CGIMGTP2,Vulnerabilities in security configuration on your Windows machines should be remediated (powered by Guest Configuration),Low,NotApplicable,Remediate security configurations
Management-P,rg-arc-app-win-p-we-001,machines,cgimgtp2,Windows servers should be configured to use secure communication protocols,High,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,cgimgtp2,Windows Defender Exploit Guard should be enabled on machines,Medium,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,CGIMGTP2,Machines should have vulnerability findings resolved,Low,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,CGIMGTP1,Machines should have a vulnerability assessment solution,Medium,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,cgimgtp1,System updates should be installed on your machines (powered by Azure Update Manager),High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,cgimgtp1,Machines should be configured to periodically check for missing system updates,High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,CGIMGTP1,Vulnerabilities in security configuration on your Windows machines should be remediated (powered by Guest Configuration),Low,NotApplicable,Remediate security configurations
Management-P,rg-arc-app-win-p-we-001,machines,cgimgtp1,Windows servers should be configured to use secure communication protocols,High,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,cgimgtp1,Windows Defender Exploit Guard should be enabled on machines,Medium,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,CGIMGTP1,Machines should have vulnerability findings resolved,Low,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,bomp2,Machines should have a vulnerability assessment solution,Medium,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,bomp2,System updates should be installed on your machines (powered by Azure Update Manager),High,NotApplicable,Apply system updates
